w1,w2,w3,w4,color,connection
clip,tiger,towel,trail,3,paper ___
down,eager,game,willing,0,into it
equip,outfit,prepare,ready,1,furnish
n.f.l.,nasa,paramount,subaru,2,orgs with stars in their logos
able,cane,eave,noaa,3,homophones of genesis figures
flag,pinwheel,vane,wind chime,0,they're blowin' in the wind
about-face,backpedal,flip-flop,renege,1,change one’s tune
jam,shoehorn,stuff,wedge,2,cram
kangaroo,neighborhood,rainbow,street,3,last words in long-running children’s show titles
follow,monitor,track,watch,0,keep tabs on
donut,juror,month,rose,1,one in a dozen
pen,printer,squid,tattoo machine,2,things with ink
roger,trix,velveteen,white,3,___ rabbit
carpet,laminate,tile,wood,0,flooring options
bank,coast,shore,strand,1,beachy area
chemistry,connection,fireworks,spark,2,romantic vibe
banshee,heartbreaker,pip,wailer,3,member of a classic backing band
door,gate,hatch,portal,0,entryway
compass,inset,key,scale,1,map features
beat,best,better,top,2,surpass
downing,fleet,main,wall,3,streets with symbolic importance
critical,key,major,principal,0,important
inner,personal,private,secret,1,intimate and undisclosed
dollar,pound,sterling,won,2,global currencies
bill,nickel,soldier,wing,3,buffalo ___
appeal,bid,call,petition,0,entreaty
address,email,name,number,1,contact info
fisheye,macro,telephoto,zoom,2,kinds of camera lenses
driver,ebay,finlet,flake,3,bodies of water plus starting letter
dent,ding,mar,scratch,0,blemish
colossus,mammoth,whale,whopper,1,behemoth
point,snicker,stare,whisper,2,rude things to do
base,box,mound,plate,3,on a baseball field
bad,shame,tsk,tut tut,0,"""you should know better!"""
barrel,fly,race,zip,1,move quickly
akeem,dolittle,donkey,foley,2,eddie murphy roles
cake,cobra,kong,tut,3,king ___
complete,done,over,through,0,finished
egg,hard taco,m&m,snail,1,things with shells
belt,gulp,shot,slug,2,swig
bull,lap,under,watch,3,___dog
baloney,bull,bunk,rubbish,0,nonsense
crank,hike,jack,raise,1,"increase, with ""up"""
archer,hunt,peel,powers,2,fictional spies
fish,nap,tail,walk,3,cat___
aerial,arabesque,roundoff,split,0,gymnastic moves
ariel,aurora,merida,tiana,1,disney princesses
arial,georgia,impact,verdana,2,fonts
angular,areal,linear,volumetric,3,geometry adjectives
blew,broke,burst,split,0,ruptured
shade,specter,spirit,wight,1,apparition
call,divine,forecast,read,2,predict
americana,choral,jazz,rap,3,"""best ___ performance"" grammy award"
kick,punch,zest,zing,0,piquancy
free,single,solo,stag,1,available
billy,buck,jack,ram,2,male animals
han,ming,song,tang,3,chinese dynasties
angel,candy cane,string lights,tinsel,0,what you might see on a christmas tree
airbrush,fix,photoshop,touch up,1,"clean up, as a photograph"
cornichon,pain,pamplemousse,vinaigrette,2,french food words
honeycomb,organism,solar panel,spreadsheet,3,things with cells
birth,dawn,genesis,start,0,beginning
bond,combine,fuse,wed,1,join
alf,mtv,nes,vhs,2,tv-related abbreviations in the '80s
day,flower,fly,pole,3,may___
expletives,four-letter words,profanity,swearing,0,curses
christmas,house,mouse,stirring,1,"in ""a visit from st. nicholas"""
earring,mesh shirt,necklace,pleather vest,2,worn by earring magic ken
herring,histamine,mystery,ouroboros,3,starting with possessive determiners
debut,introduction,launch,premiere,0,first appearance
mother,president,saint patrick,saint valentine,1,ones celebrated with holidays
bishop,burns,lorde,pope,2,famous poets
bird,clergy member,m.l.b. player,n.f.l. player,3,"what ""cardinal"" might refer to"
bash,blast,flame,roast,0,criticize harshly
board,cards,dice,pieces,1,common components of board games
axes,bass,coordinate,does,2,heteronyms
chop,drum,fiddle,fish,3,___sticks
emo,funk,metal,pop,0,music genres
bite,blow,stink,suck,1,not be good
eat,rock,rule,slay,2,do exceptionally well
cage,eno,glass,reich,3,contemporary composers
figure,name,personality,star,0,famous person
balloon,mount,mushroom,wax,1,increase
7-eleven,chevron,gulf,shell,2,places that sell gas
7-10,banana,lickety,stock,3,___ split
net,snare,tangle,web,0,places to get trapped
cup,kettle,teabag,water,1,used for tea
diamond,nails,rock,steel,2,associated with hardness
cantab,cyberspace,icecaps,makeshift,3,ending with keyboard keys
bottled,sparkling,still,tap,0,restaurant water options
checking,deposit,savings,withdrawal,1,atm options
false,no,true,yes,2,binary question options
black,even,odd,red,3,roulette options
mole,piercing,scar,tattoo,0,distinguishing characteristics
creep,heel,rat,skunk,1,a real jerk
badger,bug,harry,ride,2,pester
bar,foot,step,toad,3,"words before ""stool"""
fix,jam,mess,pickle,0,predicament
mothball,pea,pearl,pom-pom,1,small spherical things
filter,lighter,pipe cleaner,tamper,2,pipe-smoking accessories
feathers,guzzle,sad,willing,3,"what ""down"" might mean"
bottle,carafe,decanter,glass,0,wine vessels
cleft,rent,split,torn,1,ripped
coral,garter,king,rattle,2,kinds of snakes
booty,close,cold,curtain,3,___ call
brake fluid,coolant,fuel,oil,0,liquids you put into cars
bowl,coliseum,hippodrome,stadium,1,arena
chicanery,deceit,legerdemain,subterfuge,2,skulduggery
crypto,podcast,smartwatch,vape,3,modern inventions
adams,ford,grant,washington,0,u.s. presidents
chevy chase,christoph waltz,geoffrey rush,tom cruise,1,actors whose last names are also verbs
draw,omaha,strip,stud,2,kinds of poker
amy,john malkovich,las vegas,private ryan,3,proper nouns after gerunds in '90s movie titles
dream,fantasy,la-la,never never,0,lands of the imagination
domino,piano keys,yin-yang symbol,zebra,0,black-and-white things
chopsticks,claves,knitting needles,ski poles,1,pairs of rods
barber pole,carousel,ceiling fan,lazy susan,2,things that rotate about a vertical axis
candy cane,crochet hook,crook,crowbar,3,rods that curve at one end
blabbermouth,chatterbox,prattler,windbag,0,quite the talker
marsala,port,sherry,vermouth,1,fortified wines
classic,little,plymouth,the,2,___ rock
dartmouth,dashboard,flywheel,rushmore,3,starting with ways to move quickly
cue,nod,prompt,signal,0,indication
break,chance,opening,shot,1,opportunity
breakfast,parking,pool,wi-fi,2,hotel amenities
digital,pocket,stop,wrist,3,"words before ""watch"""
accessible,close,handy,nearby,0,conveniently located
address,envelope,name,stamp,1,needs for sending a letter
exit,open,push,welcome,2,words on a door
assembly,petition,press,speech,3,first amendment freedoms
fortitude,grit,pluck,resolve,0,intrepidity
construction,repairs,upgrades,work,1,renovations
cream,crush,rout,shellac,2,trounce
crepe,rolling,tissue,toilet,3,kinds of soft/lightweight paper
breast,tender,thigh,wing,0,poultry cuts
foot,pay,settle,take care of,1,"handle, as a bill"
brilliant,capital,fine,grand,2,splendid
cash,haze,mac,pec,3,starts of culinary nuts
backside,caboose,seat,tail,0,derriere
bat,mallet,racket,stick,1,used to hit a ball in sports
bouquet,bustle,train,veil,2,components of a bride’s ensemble
backpack,cookbook,hubbub,nitwit,3,rhyming compound words
charm,entrance,rivet,thrill,0,captivate
clip,extract,passage,quote,1,excerpt
bangle,chick,go-go,supreme,2,member of a girl group
board,fish,gate,struck,3,star____
bowling pins,commandments,decade,fingers,0,groups of ten
bowling alley,highway,supermarket,swimming pool,1,places with lanes
bowling green,brooklyn bridge,city hall,wall street,2,landmarks in downtown nyc
bowling ball,colander,golf course,sponge,3,things with holes
normal,plain,standard,vanilla,0,ordinary
desert,dump,maroon,strand,1,abandon
count,measure,volume,weight,2,specs on consumer packaging
ages,chocolate,horse,matter,3,dark ___
juice,pull,sway,weight,0,influence
cluster,collect,concentrate,group,1,amass
fan,historical,pulp,science,2,kinds of fiction
biopic,calcium,chemise,triglyceride,3,"starting with math and science classes, for short"
fruit,product,return,yield,0,result
dad,inside,knock-knock,practical,1,kinds of jokes
casper,ghost,let me in,twilight,2,movies featuring supernatural romance
maze,muffin,silk,syrup,3,corn-y things
draw,even,square,tie,0,"make equal, as a score"
confer,grant,present,vest,1,bestow
doodle,doze,pass notes,space,2,things you might do during a boring class/meeting
degree,marvel,pac-man,paint,3,words after the letters “ms”
click,drag,hover,scroll,0,mouse actions
bore,pierce,poke,punch,1,perforate
batman,devil,elf,vulcan,2,ones with pointy ears
borg,graf,king,sinner,3,wimbledon winners
badge,brooch,button,pin,0,accessory with a pointy fastener
bait,needle,rag,rib,1,tease
cross,hook,jab,uppercut,2,boxing punches
shammy,spec,squad,strap,3,muscle nicknames plus “s”
metro,subway,tube,underground,0,subterranean transit
cube,grate,mince,slice,1,make into smaller pieces while cooking
carrot,coal,pipe,scarf,2,used to decorate a snowman
dress,health,secret,zip,3,___ code
aphid,beetle,mite,tick,0,arthropods
beech,cedar,pine,yew,1,trees
apple,cookie,effort,vendetta,2,[letter] (is) for ____
decay,easy,geo,ziti,3,words that sound like two letters
copy,echo,mirror,parrot,0,emulate
cricket,golf,polo,squash,1,sports
bug,craze,fad,fever,2,mania
beetle,bird,gorilla,monkey,3,single animal in a creatively spelled band name
adhere,affix,glue,stick,0,attach with adhesive
commerce,congress,intimacy,relations,1,polite terms for sex
foul,spare,split,strike,2,bowling results
cleave,garnish,oversight,sanction,3,contronyms (words that can mean opposite things)
bent,faculty,flair,gift,0,aptitude
playwright,sword,wrap,wreath,1,silent w
dean,gable,garland,temple,2,legends of classic hollywood
hay,jackpot,road,roof,3,hit the ____
aid,lady,nations,responder,0,first ______
coming,fiddle,guess,nature,1,second ______
eye,party,rail,rock,2,third ______
laugh,resort,straw,supper,3,last ______
coach,direct,guide,train,0,instruct
instrument,medium,organ,vehicle,1,means
dioxide,monorail,tetracycline,triangle,2,starting with greek numerical prefixes
abut,bulge,groan,voila,3,anagrams of musical instruments
deal,promotion,sale,special,0,discount
bug,nettle,ruffle,steam,1,irritate
call,check,fold,raise,2,poker actions
brakes,fist,gas,iron,3,things you can pump
first,initial,original,primary,0,foremost
evidence,hint,sign,trace,1,indication
coin,comic,record,stamp,2,item in a collection
buddy,cult,date,silent,3,___ movie
child’s play,easy,no sweat,piece of cake,0,"""nothing to it!"""
block party,festival,picnic,tailgate,1,outdoor events
elementary,grade,grammar,primary,2,"words before ""school"""
con game,halloween,hearts,magic show,3,associated with tricks
anise,dill,mace,sage,0,herbs and spices
bottle,hunter,kelly,pea,1,shades of green
hike,march,tramp,trek,2,travel on foot
cope,luxe,sara,wars,3,starts of european capitals
mum,private,quiet,secret,0,hush-hush
in,ma,oh,ok,1,state abbreviations
ball,fair,foul,out,2,baseball calls
bed,bee,mary,mother,3,queen ___
giant,great,mammoth,titanic,0,colossal
bounce,dip,jet,split,1,leave quickly
backboard,net,pole,rim,2,parts of a basketball hoop
knick,lute,rabe,steel,3,homophones of synonyms for “nab”
bogeyman,bugbear,hobgoblin,phantom,0,dread-inducing figures
chateaubriand,flatiron,porterhouse,tomahawk,1,kinds of steaks
appraisal,escrow,insurance,mortgage,2,related to buying a home
geoduck,seahorse,titmouse,wombat,3,animals ending with animals
attitude,cheek,lip,mouth,0,sassiness
cushion,dampen,soften,temper,1,mitigate
camo,checkers,honeycomb,stripes,2,patterns
chess,cutie,humble,whoopie,3,____ pie
bonus,extra,gravy,icing,0,additional perk
condensation,freezing,melting,vaporization,1,phase transitions for liquids
festivus,regifting,shrinkage,yada yada,2,concepts from “seinfeld”
contraction,foot,possessive,quote,3,what ' can indicate
bop,bounce,groove,sway,0,move to the music
drag,draw,puff,pull,1,inhalation
dry,gin,shaken,twist,2,martini specifications
buzz,cross,loan,pass,3,_____ word
rain,spring,tap,well,0,sources of drinking water
pass,punt,snap,spike,1,things you can do with a football
brad,nail,pin,tack,2,sharp fasteners
don,leo,mic,rap,3,starts of teenage mutant ninja turtles
run,series,streak,string,0,sequence
catch,note,see,spot,1,pick up on
bridge,cobra,cow,wheel,2,yoga backbends
blanket,eel,guitar,slide,3,electric ___
nose around,poke,pry,snoop,0,meddle
biggie,hard feelings,sweat,worries,1,words after no to mean its all good
glue,mario world,pac,power,2,super ____
camisole,cape cod,drum and bass,wu-tang,3,ending with fish
cafeteria,dorm,library,quad,0,parts of a college campus
camp,dramatic,hammy,overdone,1,"exaggerated, as a performance"
corner,surround,trap,tree,2,close in on
bet,delt,lamb,the,3,starts of greek letters
bars,beam,rings,vault,0,gymnastics apparatus
boot,bounce,eject,remove,1,force to leave
nope,pearl,scream,smile,2,horror movies from 2022
feathers,play,power,shoe,3,horse___
baby,ice,powder,sky,0,shades of blue
compact,fast,sleek,sporty,1,adjectives for a sports car
ginger,jolly,mister,roy,2,words before “roger/s”
abut,belled,flounders,scary,3,disney animated characters plus a letter
burn,knock,slight,zing,0,insult
expiration,name,number,zip,1,credit card info
glossy,mag,rag,zine,2,slang for printed matter
bubbly,cab,chard,zin,3,wine nicknames
back,champion,second,support,0,endorse
elaborate,minute,particular,thorough,1,detailed
age,day,period,time,2,era
echo,kilo,uniform,victor,3,in the nato alphabet
google,photoshop,uber,zoom,0,companies that have become verbs
dodo,goof,goose,yahoo,1,silly person
folk,love,siren,swan,2,kinds of songs
fowl,mien,offal,vial,3,homophones of synonyms for “despicable”
hub,rim,spoke,tire,0,parts of a wheel
camo,drab,fatigue,khaki,1,military clothing descriptors
duct,exhaust,hose,pipe,2,used in ventilation
blow,lose,miss,waste,3,"fail to take advantage of, as an opportunity"
base,bottom,foot,foundation,0,lowest part
ankle,compression,crew,dress,1,kinds of socks
buzz,knock,ring,shout,2,things you do at someone's front door
compare,connecticut,parsnip,wallop,3,"ending in synonyms for ""clip"""
affair,fling,relations,thing,0,liaison
bench,locker,mirror,scale,1,seen in a locker room
code,key,password,pin,2,something entered for access
candy,carpenter,legend,major,3,johns
canary,leak,rat,source,0,informant
footprint,impact,mark,splash,1,big impression
block,dribble,pass,shoot,2,basketball moves
banana,dog,hat,secret,3,top ___
ceramics,china,pottery,ware,0,fired objects
crumb,grain,morsel,shred,1,particle
dre,evil,pepper,seuss,2,drs
crypto,decaf,disney,prussian,3,ending with homophones of parts of the leg
hustle,racket,scheme,sting,0,con game
beat,blend,fold,stir,1,"combine, as baking ingredients"
burn,itch,long,pine,2,yearn
bucket,laundry,short,to-do,3,kinds of lists
driver license,freudian concept,idaho,recognize,0,what “id” might refer to
inch,indiana,inside,trendy,1,what “in” might refer to
lanthanum,los angeles,louisiana,musical note,2,what “la” might refer to
british magazine,greenlight,mediocre,oklahoma,3,what “ok” might refer to
contact,dealings,exchange,interaction,0,correspondence
arrival,destination,flight,gate,1,airport board info
college,number,position,team,2,pro athlete data
almanac,insurance,market,tan,3,farmers’ things
bootleg,copy,fake,replica,0,knockoff
dreams,id,oedipus,slip,1,associated with freud
mobile,pain,rex,shirt,2,words after “t-”
freshwater,juniper,seneca,sophocles,3,starting with high school/college abbreviations
nick,palm,pinch,pocket,0,steal
brush,dress,shave,shower,1,do some grooming
neat,sharp,smart,tidy,2,dapper
birth,key,mile,touch,3,_____ stone
bridge,crown,filling,veneer,0,dental additions
circus,roller coaster,soap opera,whirlwind,1,metaphors for a dramatic and chaotic event
drive,highway,peaks,velvet,2,second words in david lynch titles
airplane,black,hot tub nozzle,nfl player,3,what “jet” might refer to
float,shake,split,sundae,0,ice cream treats
bolt,jerk,jump,startle,1,flinch
cabbage patch,floss,moonwalk,robot,2,dance moves
earthworm,mud,mushroom,puddle,3,seen in the aftermath of a rainstorm
ball,bone,frisbee,stick,0,things a dog can fetch
drove,host,load,score,1,great many
boot,points,ticket,tow,2,possible results of a traffic violation
bell,diesel,singer,watt,3,industrial revolution inventors
chic,current,fresh,happening,0,in fashion
halo,harp,robe,wings,1,parts of an angel costume
bird,count,grouch,monster,2,“sesame street” figures
blood,blues,chemical,marx,3,___ brothers
cheese,dressing,lettuce,protein,0,components of a salad
enigma,pinball,sewing,vending,1,kinds of machines
damages,goliath,matlock,suits,2,legal dramas
bojack,hawking,lovelace,mcqueen,3,ending with playing cards
blue,goat,jack,swiss,0,kinds of cheeses
cup,lid,napkin,straw,1,beverage self-service items
chisel,plane,rasp,saw,2,woodworking hand tools
cran,flaming,hero,rave,3,birds minus last letter
firm,rigid,stern,tough,0,strict
hull,husk,pod,shell,1,botanical coverings
cast,director,studio,title,2,seen in opening credits
line,plane,point,solid,3,"objects in 0-, 1-, 2- and 3-dimensional space"
boyfriend,flare,mom,skinny,0,kinds of jeans
historical,literary,speculative,young adult,1,fiction categories
bell,farewell,old man,sun,2,words in hemingway titles
cocktail,collins,old fashioned,shot,3,___ glass glassware
bulletin,flash,report,wire,0,news announcement
happiness,liberty,life,pursuit,1,nouns from a famous line in the declaration of independence
entourage,euphoria,insecure,succession,2,hbo shows
departed,port,progressive,remaining,3,what “left” might mean
solid,squat,stout,thick,0,stocky
concern,firm,house,outfit,1,company
brandy,butter,cider,sauce,2,apple products
germ,luxe,malt,port,3,starts of european countries
button,needle,scissors,thread,0,items in a sewing kit
film,record,shoot,tape,1,capture on video
hitman,rock,snake,undertaker,2,"pro wrestling icons, with “the”"
museum,paper,poetic,seal,3,wax ___
attendance,final,homework,papers,0,components of ones grade
destination,route,starting point,stops,1,map app options
ball,blocks,jacks,train,2,classic toys
foils,gloves,jackets,masks,3,fencing gear
cold,gray,wet,windy,0,qualities of a rainy day
dead,exactly,right,smack,1,squarely
astronaut,coffee,pea,whale,2,contents of a pod
barm,lear,rankle,ship,3,body part plus a starting letter
car,flight,hotel,tour,0,things to book for a vacation
fight,grit,resolve,spirit,1,mettle
freeze,glitch,quit,timeout,2,bad things for a website to do
elephant,fawn,marionette,mouse,3,figures in classic disney animated films
blank,flat,inanimate,wooden,0,expressionless
bracket,curtain,hook,rod,1,drapery hanging items
coaster,garnish,glass,straw,2,what a drink is served with
busboy,carbon,shipshape,trainee,3,starting with methods of transportation
brew,java,mud,rocket fuel,0,slang for coffee
blast,crud,curses,fudge,1,"""aw, heck!"""
action,language,nudity,smoking,2,considerations for movie ratings
burst,father,popular,soda,3,what “pop” might mean
diva,icon,legend,queen,0,goddess
arrow,heart,mom,ribbon,1,elements of a classic “mom” tattoo
astro,blue,hooch,toto,2,dogs of the screen
border,boston,bull,rat,3,___ terrier
angle,bent,lens,point of view,0,perspective
cone,cup,little spoon,scoop,1,seen at an ice cream shop
closing time,iris,one week,too close,2,hit songs of 1998
dog,potato,rod,water bottle,3,hot ___
cuddling,hugging,snuggling,spooning,0,getting cozy
buzzing,dishing,spilling,whispering,1,gossiping
acupuncturing,bowling,sewing,wrestling,2,engaging in an activity with pins or needles
doctoring,lording,missing,siring,3,starting with titles
bluster,crow,show off,strut,0,boast
banana,eyebrow,flight path,rainbow,1,arc-shaped things
count,elves,leprechaun,rooster,2,cereal mascots
asterisk,dagger,number,parens,3,ways to denote a citation
chair,judge,mediate,moderate,0,arbitrate
chart,image,table,text box,1,things you can insert in a document
chill,psych,radical,word,2,'80s slang
civic,customs,heavy,jury,3,___ duty
crew,family,ring,syndicate,0,crime organization
hold,last,stand,stay,0,persist
bear,bull,dove,hawk,1,animal metaphors in economics
born,education,occupation,spouse,2,sidebar info on a person’s wikipedia page
bred,cache,doe,lute,3,homophones of slang for money
breathe,hydrate,rest,stretch,0,tips for working out safely
found,institute,launch,start,1,establish
air,number,song,strain,2,ditty
chicken,equinox,fling,onion,3,spring ___
columnist,editor,photographer,reporter,0,newspaper jobs
common,regular,routine,standard,1,everyday
convention,criminal,drawback,swindle,2,what “con” might mean
newshound,shadowboxer,snickerdoodle,trendsetter,3,ending with kinds of dogs
pipe,plunger,snake,wrench,0,plumbing equipment
bridge,chorus,hook,refrain,0,parts of a song
cheer,clap,root,whistle,1,support audibly
bench,coat rack,console,runner,2,things in an entryway
apple,bowler,cloud,pipe,3,imagery in magritte paintings
grandstand,posture,showboat,swagger,0,be ostentatious
fine,hunky-dory,ok,swell,1,copacetic
charm,friendship,id,tennis,2,kinds of bracelets
law,medicine,self-care,witchcraft,3,things you can practice
journey,odyssey,quest,voyage,0,expedition
esteem,prize,treasure,value,1,hold dear
myrrh,nymph,rhythm,sphynx,2,words whose only vowel is y
frankincense,jackpot,markdown,nickname,3,names ending in k plus word
dive,establishment,haunt,joint,0,local watering hole
fence,ride,shoot,swim,1,compete in a modern pentathlon
cinch,guarantee,ice,lock,2,"ensure, as a victory"
hedge,mutual,slush,trust,3,___ fund
cavity,hollow,nook,recess,0,alcove
certificate,medal,plaque,trophy,1,ways to recognize achievement
ferment,proof,rest,rise,2,verbs in breadmaking
bubble,fuse,kiss,raspberry,3,things you can blow
bat,club,staff,stick,0,rods
foil,ribbon,tape,toilet paper,1,they're on a roll!
hat,tee,tote,water bottle,2,common swag items
caddy,love,radio,shake,3,words before “shack”
applaud,hail,honor,praise,0,salute
apt,fit,proper,right,1,suitable
frost,glaze,powder,sprinkle,2,verbs for finishing donuts
enthusiast,muscular,nude,polish,3,what buff might mean
bridge,join,link,unite,0,connect
chain,pedal,saddle,wheel,1,parts of a bike
chicago,crash,gladiator,moonlight,2,best picture winners since 2000
bluest,pope,rocky,skat,3,music genres plus a letter
coaster,frisbee,pancake,record,0,round flat things
carousel,food court,gate,lounge,1,airport features
bend,pick,slide,strum,2,guitar playing techniques
beast,candelabra,clock,teacup,3,what characters were transformed into in beauty and the beast
pillowcase,sheet,towel,washcloth,0,items in a linen closet
counter,opposite,polar,reverse,1,diametric
garter,hose,slip,teddy,2,lingerie
din,fridge,gummy,joker,3,card games with first letter changed
ace,jack,king,queen,0,playing cards
clone,double,ringer,twin,1,doppelganger
conch,helix,lobe,rook,2,ear piercing sites
chain,electronic,junk,snail,3,_____ mail
bib,bottle,monitor,stroller,0,baby gear
capri,jean,jogger,slack,1,kinds of pants minus s
jet,met,net,ranger,2,new york sports team members
butler,gay,hooks,walker,3,black women authors
bash,blast,blowout,rave,0,quite the party
character,fiber,makeup,nature,1,ones constitution
dram,ounce,pound,stone,2,british imperial units of weight
eyeliner,glasses,marble,nebula,3,what cats eye can be used to describe
asterisk,catch,condition,strings,0,fine print
elphaba,grinch,hulk,shrek,1,characters with green skin
capitol,mall,obelisk,pool,2,features of the national mall in d.c.
bridge troll,mad hatter,riddler,sphinx,3,famous riddle-givers
bar,block,deny,refuse,0,"prohibit, as entry"
desktop,music,pictures,trash,1,folders on a mac
cream,patch,spray,tablet,2,medicine formats
clam,compact,laptop,waffle iron,3,things that open like a clam
ledger,log,record,register,0,account book
bale,horse,pitchfork,trough,1,seen in a barn
brown,drew,hardy,holmes,2,detectives of kid-lit
canopy,day,murphy,water,3,"words before ""bed"""
ball,benefit,gala,function,0,fundraising event
avenue,chance,railroad,utility,1,spaces on a monopoly board
blubber,flipper,fluke,melon,2,features of a toothed whale
bawl,heal,soul,tow,3,homophones of parts of the foot
assignment,drill,exercise,lesson,0,tasks for a student
almost,close,not quite,warm,1,encouraging responses in a guessing game
easy,flexible,game,open,2,up for anything
area,athletic,excellent,one,3,what a might mean
animal,bacteria,fungus,plant,0,member of a kingdom in taxonomy
beaker,protractor,ruler,syringe,1,graduated instruments
chinstrap,emperor,king,macaroni,2,kinds of penguins
commerce,mail,scooter,signature,3,“e” things
herb,shrub,tree,vine,0,kinds of plants
dissolve,end,scrap,sunset,1,discontinue
michael jordan,rodeo,taurus,wall street,2,associated with bulls
hollywood,hourglass,kubrick,neuroplastic,3,ending with building materials
basis,foundation,grounds,reason,0,rationale
crust,ice,powder,slush,1,types of snow
bess,butterfly,flute,seville,2,last words of famous opera titles
deal,estate,madrid,world,3,real ___
draw,pull,suck,wick,0,absorb using capillary action
hyper,kilo,meta,neo,1,greek prefixes
babe,bolt,dumbo,ted,2,titular animals of film
gnome,knee,mnemonic,psyche,3,starting with silent letters
bazaar,fair,market,outlet,0,places to shop
hawaiian,plain,supreme,veggie,1,kinds of pizza
evergreen,infrared,marigold,quicksilver,2,ending with colors
bathroom,dry,pipe,vacuum,3,___ cleaner
atm,cash register,tip jar,wallet,0,places to find paper money
bank,bounce,carom,ricochet,1,rebound
click,hit,page view,visit,2,things tracked by web analytics
curl,pucker,purse,smack,3,things you can do with your lips
delight,please,suit,tickle,0,make happy
dodge,duck,shake,skirt,1,evade
boss,level,health,power-up,2,common video game features
earth,goose,may i,superior,3,mother ___
best,cheers,love,sincerely,0,letter sign-offs
absent,minus,sans,wanting,1,without
beans,energy,pep,zip,2,vigor
bacon,comic,landing,sunset,3,___ strip
brightness,color,contrast,tint,0,tv display settings
dim,faint,remote,vague,1,"fuzzy, as a memory"
difference,product,quotient,sum,2,results of some arithmetic
blind,drape,shade,shutter,3,window treatments in the singular
author,compose,pen,write,0,commit to paper
cup,dice,pencil,scorecard,1,needs for playing yahtzee
bond,jones,ocean,wick,2,heroes of action movie franchises
candle,chop,joy,yard,3,___stick
heal,knit,mend,recover,0,"get better, as a broken bone"
besides,but,except,save,1,not including
cups,pentacles,swords,wands,2,tarot minor arcana suits
choral,opel,purl,quarts,3,homophones of gemstones
calm,hush,peace,still,0,silence
game,match,set,tournament,1,tennis competition units
baby,compact,minute,toy,2,comparatively small
kidney,mockingbird,razzmatazz,ribbon,3,starting with synonyms for “tease”
coast,cruise,drift,float,0,glide
bat,cape,castle,fang,1,associated with count dracula
flatten,level,plateau,settle,2,stop changing
baton,cigar,hoagie,torpedo,3,things that are long and cylindrical
chewy,dry,stringy,tough,0,qualities of overcooked meat
jam,noodle,shred,solo,1,play some electric guitar
boba,milk,sugar,tea,2,ingredients in bubble tea
bluto,cars,darth,genus,3,planets/dwarf planet with first letter changed
dope,fire,lit,sick,0,awesome
cream,lick,paste,smoke,1,defeat soundly
hell,ill,shell,well,2,“will” contractions without the apostrophe
comp,milk,neti,orgo,3,url endings plus a letter
bust,relief,statue,torso,0,kinds of carvings
brace,post,prop,support,1,pillar
dog,link,rib,wing,2,bbq offering
bottle,break,goose,turtle,3,___neck
pot,prize,purse,reward,0,winnings
break,drop,kick,shake,1,"stop, as a habit"
dolly,pan,tilt,zoom,2,movie camera verbs
bite,fun,pocket,travel,3,"words that precede ""-size"" to mean small"
heel,sole,tongue,upper,0,parts of a shoe
capacity,chairs,room,seating,1,accommodation
face,image,regard,standing,2,reputation
dynasty,engross,gimmick,mildew,3,ending with synonyms for “yuck”
batter,dough,mixture,paste,0,cooking concoctions
candlestick,pitcher,placemat,plate,1,seen on a table at a dinner party
ladder,mountain,rope,tree,2,things to climb
gemstone,infield,rhombus,suit,3,"what ""diamond"" can refer to"
gel,mousse,spray,wax,0,hair products
bare,plain,simple,spare,1,austere
fiber,fingerprint,hair,tire mark,2,clues at a crime scene
bore,drain,exhaust,tire,3,weary
equals,minus,percent,times,0,calculator buttons
lock,shock,thatch,tuft,1,amounts of hair
combo,goldfish,ruffle,taki,2,salty snack unit
chef,fish,massage,meatball,3,swedish ___
color,hue,shade,tone,0,tint
dale,dell,glen,hollow,1,valley
dole,hope,marley,ross,2,bobs
dre,gary,genre,lube,3,color anagrams
bubblegum,cinnamon,menthol,wintergreen,0,gum flavors
catalyst,launchpad,spark,springboard,1,starting point
autumn leaves,summertime,unforgettable,witchcraft,2,great american songbook songs
fallopian,inner,test,vacuum,3,___ tube
baby powder,milk,polar bear,snow,0,things that are white
butter,iceberg,leaf,romaine,1,kinds of lettuce
bane,joker,penguin,scarecrow,2,“batman” villains
cornfield,musicians,pitchers,walls,3,they have literal/idiomatic ears
branch,leaf,root,trunk,0,parts of a tree
fur,muzzle,paw,tail,1,canine/feline features
act,bit,gag,sketch,2,comedic routine
bean,flag,may,tad,3,___pole
axe,cut,drop,scrap,0,"cancel, as a project"
clay,glaze,kiln,wheel,1,seen in a pottery studio
banana peel,eel,grease,ice,2,things that are slippery
fire,lightning,sun,volcano,3,natural producers of heat
fat,iron,protein,sodium,0,info on a nutrition label
bombshell,curveball,twist,wrench,1,metaphor for something unexpected
cell,column,row,sheet,2,things you can insert into a spreadsheet
corkscrew,dna,fusilli,spring,3,helical things
gander,glance,look,peep,0,glimpse
basin,dye,rubber bands,shirt,1,needs for tie-dyeing a shirt
code,egg,joke,whip,2,things you can crack
bar,bunny,hip,sock,3,words before “hop”
address,lecture,speech,talk,0,spoken presentation
dry,hot,sandy,vast,1,adjectives for a desert
bully,chow,golden,lab,2,"dog breeds, informally"
cannabis,devil,intro class,james bond,3,represented by three-digit numbers
